S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
984,Jean-Philippe Gbamin,ci CIV,MF,Nantes,fr Ligue 1,28,1995,14,216,0,0,0,1,0,0,25,3,3
985,Mory Gbane,ci CIV,"DF,MF",Reims,fr Ligue 1,23,2000,13,1125,0,1,1,2,0,0,54.2,11,2
986,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,23,2001,31,2333,5,4,9,2,0,0,40,21,20
987,David de Gea,es ESP,GK,Fiorentina,it Serie A,33,1990,34,3060,0,1,1,1,0,0,100,0,0
988,Viggo Gebel,de GER,MF,RB Leipzig,de Bundesliga,16,2007,1,14,0,0,0,0,0,0,,0,0
989,Lutsharel Geertruida,nl NED,DF,RB Leipzig,de Bundesliga,24,2000,24,1557,1,0,1,2,0,0,48.4,16,11
990,Dennis Geiger,de GER,"MF,FW",Hoffenheim,de Bundesliga,26,1998,20,734,0,0,0,4,0,1,63.2,7,13
991,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,24,2000,2,180,0,0,0,0,0,0,100,0,2
992,Valentin Gendrey,fr FRA,DF,Hoffenheim,de Bundesliga,24,2000,22,1414,1,1,2,1,0,0,61.1,7,14
993,Denis Genreau,au AUS,MF,Toulouse,fr Ligue 1,25,1999,8,222,0,0,0,0,0,0,50,4,3
994,Tyrique George,eng ENG,FW,Chelsea,eng Premier League,18,2006,8,183,1,1,2,1,0,0,66.7,1,1
995,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,30,1994,29,1518,1,1,2,5,1,0,36.7,19,24
996,Max Geschwill,de GER,DF,Holstein Kiel,de Bundesliga,23,2001,19,1282,1,2,3,2,0,0,73.7,5,5
997,Daniele Ghilardi,it ITA,DF,Hellas Verona,it Serie A,21,2003,24,2029,0,0,0,7,1,0,61,16,14
998,Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,30,1993,15,878,1,0,1,4,0,0,70,6,10
999,Dimitris Giannoulis,gr GRE,DF,Augsburg,de Bundesliga,28,1995,31,2650,1,4,5,8,0,0,59.1,18,38
1000,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,eng Premier League,24,2000,34,2803,7,8,15,11,1,4,51.5,16,13
